arm,layer,layer_name,format_a,format_b,control_type,n_concepts,matched_score,matched_ci_low,matched_ci_high,control_score,control_ci_low,control_ci_high,paired_delta,ci_low,ci_high,p_perm_greater,retrieval_top1,retrieval_top5,retrieval_margin
base,1,layer_1,__mean__,__mean__,lexical,128,0.9568573666426042,0.9564814909244888,0.957227280929995,0.9564252325023214,0.956175631172179,0.9566645549377427,0.00043213414028286934,0.00016924308147281408,0.0006908572744578123,0.11688311688311688,0.014322916666666666,0.09765625,-0.0038629830814898014
base,1,layer_1,__mean__,__mean__,category_proxy,128,0.9568573666426042,0.9564674665336496,0.957221253720733,0.9563639988191426,0.9560744918960458,0.9566493365292748,0.0004933678234616915,0.0002950680480959515,0.0007013296786074838,0.00333000333000333,0.014322916666666666,0.09765625,-0.0038629830814898014
base,2,layer_2,triplet,pairwise,random,128,0.918864747043699,0.9180773391504772,0.9197295060381293,0.9178640688769519,0.9173659822437912,0.9183982255519367,0.0010006781667470932,0.00042160071898251773,0.001640879618935287,0.000999000999000999,0.03125,0.12109375,-0.008206675760447979
base,2,layer_2,triplet,pairwise,close_neighbor,128,0.918864747043699,0.9181580992997624,0.9196720828185789,0.9187217857688665,0.9180216824635863,0.9195477536879479,0.0001429612748324871,-0.00026089292950928213,0.00054059075191617,0.22777222777222778,0.03125,0.12109375,-0.008206675760447979
base,2,layer_2,triplet,pairwise,far_neighbor,128,0.918864747043699,0.9180532071506604,0.9197995301452465,0.9183057812042534,0.917762402293738,0.9188185858074576,0.000558965839445591,9.907204657793045e-05,0.0010047655319795012,0.017982017982017984,0.03125,0.12109375,-0.008206675760447979
base,2,layer_2,triplet,pairwise,lexical,128,0.918864747043699,0.9180713090579957,0.9196691020741128,0.918052498716861,0.9175509070744738,0.9186604291433469,0.0008122483268380165,0.00030151089886203407,0.001326535327825695,0.003996003996003996,0.03125,0.12109375,-0.008206675760447979
base,2,layer_2,triplet,pairwise,category_proxy,128,0.918864747043699,0.9179388964548707,0.919705217750743,0.9179828837513924,0.9175112496945076,0.9185917732771486,0.0008818632923066616,0.000378544838167727,0.0013705844758078456,0.000999000999000999,0.03125,0.12109375,-0.008206675760447979
base,2,layer_2,triplet,feature_listing,random,128,0.9727342524565756,0.972475115978159,0.9729969088570215,0.9719504960812628,0.9717384160496294,0.9721672315732576,0.0007837563753128052,0.0005822224076837302,0.0010098624392412604,0.000999000999000999,0.01171875,0.11328125,-0.0022363848984241486
base,2,layer_2,triplet,feature_listing,close_neighbor,128,0.9727342524565756,0.9724554650718347,0.9730239597382024,0.972343759611249,0.9720617667771876,0.9726233781431801,0.00039049284532666206,0.00021984805352985858,0.0005619646981358528,0.000999000999000999,0.01171875,0.11328125,-0.0022363848984241486
base,2,layer_2,triplet,feature_listing,far_neighbor,128,0.9727342524565756,0.9725067160208709,0.9729683114681393,0.9715507631190121,0.9713223622762598,0.9717640175949782,0.0011834893375635147,0.0009748031501658261,0.001376485580112785,0.000999000999000999,0.01171875,0.11328125,-0.0022363848984241486
base,2,layer_2,triplet,feature_listing,lexical,128,0.9727342524565756,0.9724308774690144,0.9729900188627653,0.9721243684180081,0.9719089125166647,0.9723332472960464,0.000609884038567543,0.0004291561315767467,0.0008186891907826066,0.000999000999000999,0.01171875,0.11328125,-0.0022363848984241486
base,2,layer_2,triplet,feature_listing,category_proxy,128,0.9727342524565756,0.9724595251027495,0.9729883949505165,0.9721110849641263,0.9718578505562618,0.9723560478887521,0.0006231674924492836,0.00043503689812496305,0.0008415710180997847,0.000999000999000999,0.01171875,0.11328125,-0.0022363848984241486
base,2,layer_2,pairwise,feature_listing,random,128,0.8959775315597653,0.8956376768532209,0.8963894592016004,0.8957460676319897,0.8954767848248594,0.8960252088611014,0.00023146392777562141,-1.263250596821308e-05,0.0004917496233247219,0.03696303696303696,0.01171875,0.05078125,-0.006673343945294619
